 3.00  8750. -5.0  2.0  0.3500  0.6127 -0.4842  0.1357 r, L ATLAS
 3.50  8750. -5.0  2.0  0.3172  0.6448 -0.4795  0.1258 r, L ATLAS
 4.00  8750. -5.0  2.0  0.2862  0.6571 -0.4418  0.1008 r, L ATLAS
 4.50  8750. -5.0  2.0  0.2653  0.6147 -0.2997  0.0181 r, L ATLAS
 5.00  8750. -5.0  2.0  0.2300  0.6057 -0.1693 -0.0725 r, L ATLAS
 1.50  9000. -5.0  2.0  0.3635  0.6226 -0.5161  0.1588 r, L ATLAS
 2.00  9000. -5.0  2.0  0.4010  0.5524 -0.4811  0.1498 r, L ATLAS
 2.50  9000. -5.0  2.0  0.4050  0.5257 -0.4532  0.1373 r, L ATLAS
 3.00  9000. -5.0  2.0  0.3882  0.5388 -0.4496  0.1312 r, L ATLAS
 3.50  9000. -5.0  2.0  0.3655  0.5601 -0.4440  0.1226 r, L ATLAS
 4.00  9000. -5.0  2.0  0.3379  0.5847 -0.4342  0.1117 r, L ATLAS
 4.50  9000. -5.0  2.0  0.3147  0.5797 -0.3835  0.0845 r, L ATLAS
 5.00  9000. -5.0  2.0  0.2978  0.5544 -0.3145  0.0523 r, L ATLAS
 2.00  9250. -5.0  2.0  0.4290  0.4777 -0.4150  0.1273 r, L ATLAS
 2.50  9250. -5.0  2.0  0.4326  0.4593 -0.4061  0.1243 r, L ATLAS
 3.00  9250. -5.0  2.0  0.4162  0.4795 -0.4197  0.1268 r, L ATLAS
 3.50  9250. -5.0  2.0  0.4002  0.4924 -0.4128  0.1189 r, L ATLAS
 4.00  9250. -5.0  2.0  0.3791  0.5181 -0.4165  0.1153 r, L ATLAS
 4.50  9250. -5.0  2.0  0.3556  0.5333 -0.3973  0.1010 r, L ATLAS
 5.00  9250. -5.0  2.0  0.3386  0.5144 -0.3351  0.0702 r, L ATLAS
 2.00  9500. -5.0  2.0  0.4500  0.4192 -0.3615  0.1086 r, L ATLAS
 2.50  9500. -5.0  2.0  0.4580  0.3921 -0.3504  0.1064 r, L ATLAS
 3.00  9500. -5.0  2.0  0.4435  0.4122 -0.3700  0.1124 r, L ATLAS
 3.50  9500. -5.0  2.0  0.4256  0.4393 -0.3878  0.1159 r, L ATLAS
 4.00  9500. -5.0  2.0  0.4120  0.4535 -0.3854  0.1108 r, L ATLAS
 4.50  9500. -5.0  2.0  0.3968  0.4634 -0.3710  0.1000 r, L ATLAS
 5.00  9500. -5.0  2.0  0.3809  0.4552 -0.3258  0.0758 r, L ATLAS
 2.00  9750. -5.0  2.0  0.4676  0.3712 -0.3175  0.0928 r, L ATLAS
 2.50  9750. -5.0  2.0  0.4772  0.3399 -0.3069  0.0921 r, L ATLAS
 3.00  9750. -5.0  2.0  0.4630  0.3611 -0.3325  0.1015 r, L ATLAS
 3.50  9750. -5.0  2.0  0.4444  0.3962 -0.3644  0.1115 r, L ATLAS
 4.00  9750. -5.0  2.0  0.4332  0.4103 -0.3677  0.1095 r, L ATLAS
 4.50  9750. -5.0  2.0  0.4282  0.4027 -0.3419  0.0957 r, L ATLAS
 5.00  9750. -5.0  2.0  0.4199  0.3888 -0.2984  0.0730 r, L ATLAS
 2.00 10000. -5.0  2.0  0.4840  0.3289 -0.2802  0.0800 r, L ATLAS
 2.50 10000. -5.0  2.0  0.4958  0.2884 -0.2615  0.0766 r, L ATLAS
 3.00 10000. -5.0  2.0  0.4799  0.3156 -0.2984  0.0917 r, L ATLAS
 3.50 10000. -5.0  2.0  0.4618  0.3508 -0.3331  0.1030 r, L ATLAS
 4.00 10000. -5.0  2.0  0.4533  0.3618 -0.3362  0.1014 r, L ATLAS
 4.50 10000. -5.0  2.0  0.4513  0.3545 -0.3182  0.0923 r, L ATLAS
 5.00 10000. -5.0  2.0  0.4483  0.3398 -0.2843  0.0756 r, L ATLAS
 2.00 10500. -5.0  2.0  0.5138  0.2548 -0.2147  0.0569 r, L ATLAS
 2.50 10500. -5.0  2.0  0.5273  0.2027 -0.1865  0.0509 r, L ATLAS
 3.00 10500. -5.0  2.0  0.5093  0.2290 -0.2226  0.0656 r, L ATLAS
 3.50 10500. -5.0  2.0  0.4910  0.2656 -0.2644  0.0814 r, L ATLAS
 4.00 10500. -5.0  2.0  0.4827  0.2835 -0.2841  0.0884 r, L ATLAS
 4.50 10500. -5.0  2.0  0.4832  0.2791 -0.2763  0.0841 r, L ATLAS
 5.00 10500. -5.0  2.0  0.4890  0.2565 -0.2459  0.0710 r, L ATLAS
 2.50 11000. -5.0  2.0  0.5576  0.1247 -0.1203  0.0290 r, L ATLAS
 3.00 11000. -5.0  2.0  0.5349  0.1546 -0.1586  0.0442 r, L ATLAS
 3.50 11000. -5.0  2.0  0.5125  0.1963 -0.2057  0.0621 r, L ATLAS
 4.00 11000. -5.0  2.0  0.5017  0.2219 -0.2367  0.0741 r, L ATLAS
 4.50 11000. -5.0  2.0  0.5003  0.2306 -0.2509  0.0803 r, L ATLAS
 5.00 11000. -5.0  2.0  0.5133  0.1947 -0.2098  0.0634 r, L ATLAS
 2.50 11500. -5.0  2.0  0.5883  0.0465 -0.0520  0.0060 r, L ATLAS
 3.00 11500. -5.0  2.0  0.5619  0.0772 -0.0898  0.0209 r, L ATLAS
 3.50 11500. -5.0  2.0  0.5326  0.1309 -0.1482  0.0428 r, L ATLAS
 4.00 11500. -5.0  2.0  0.5172  0.1653 -0.1885  0.0584 r, L ATLAS
 4.50 11500. -5.0  2.0  0.5192  0.1631 -0.1906  0.0597 r, L ATLAS
 5.00 11500. -5.0  2.0  0.5288  0.1451 -0.1767  0.0554 r, L ATLAS
 2.50 12000. -5.0  2.0  0.6192 -0.0314  0.0176 -0.0179 r, L ATLAS
 3.00 12000. -5.0  2.0  0.5880  0.0035 -0.0230 -0.0022 r, L ATLAS
 3.50 12000. -5.0  2.0  0.5515  0.0700 -0.0942  0.0245 r, L ATLAS
 4.00 12000. -5.0  2.0  0.5307  0.1130 -0.1421  0.0429 r, L ATLAS
 4.50 12000. -5.0  2.0  0.5283  0.1199 -0.1533  0.0475 r, L ATLAS
 5.00 12000. -5.0  2.0  0.5385  0.1016 -0.1407  0.0439 r, L ATLAS
 2.50 12500. -5.0  2.0  0.6483 -0.1031  0.0814 -0.0395 r, L ATLAS
 3.00 12500. -5.0  2.0  0.6146 -0.0702  0.0435 -0.0247 r, L ATLAS
 3.50 12500. -5.0  2.0  0.5708  0.0080 -0.0373  0.0048 r, L ATLAS
 4.00 12500. -5.0  2.0  0.5435  0.0639 -0.0980  0.0279 r, L ATLAS
 4.50 12500. -5.0  2.0  0.5374  0.0766 -0.1138  0.0339 r, L ATLAS
 5.00 12500. -5.0  2.0  0.5443  0.0667 -0.1109  0.0344 r, L ATLAS
 2.50 13000. -5.0  2.0  0.6744 -0.1645  0.1336 -0.0563 r, L ATLAS
 3.00 13000. -5.0  2.0  0.6398 -0.1381  0.1041 -0.0450 r, L ATLAS
 3.50 13000. -5.0  2.0  0.5889 -0.0486  0.0131 -0.0119 r, L ATLAS
 4.00 13000. -5.0  2.0  0.5559  0.0166 -0.0553  0.0136 r, L ATLAS
 4.50 13000. -5.0  2.0  0.5444  0.0402 -0.0816  0.0232 r, L ATLAS
 5.00 13000. -5.0  2.0  0.5491  0.0323 -0.0785  0.0229 r, L ATLAS
 2.00 14000. -5.0  2.0  0.6256  0.0344 -0.0483  0.0062 r, L ATLAS
 2.50 14000. -5.0  2.0  0.7230 -0.2775  0.2335 -0.0901 r, L ATLAS
 3.00 14000. -5.0  2.0  0.6898 -0.2725  0.2288 -0.0882 r, L ATLAS
 3.50 14000. -5.0  2.0  0.6278 -0.1686  0.1257 -0.0509 r, L ATLAS
 4.00 14000. -5.0  2.0  0.5817 -0.0796  0.0355 -0.0181 r, L ATLAS
 4.50 14000. -5.0  2.0  0.5587 -0.0308 -0.0171  0.0016 r, L ATLAS
 5.00 14000. -5.0  2.0  0.5551 -0.0203 -0.0331  0.0085 r, L ATLAS
 2.50 15000. -5.0  2.0  0.7602 -0.3523  0.2915 -0.1077 r, L ATLAS
 3.00 15000. -5.0  2.0  0.7353 -0.3879  0.3328 -0.1234 r, L ATLAS
 3.50 15000. -5.0  2.0  0.6638 -0.2756  0.2253 -0.0851 r, L ATLAS
 4.00 15000. -5.0  2.0  0.6057 -0.1661  0.1168 -0.0461 r, L ATLAS
 4.50 15000. -5.0  2.0  0.5724 -0.0967  0.0436 -0.0187 r, L ATLAS
 5.00 15000. -5.0  2.0  0.5623 -0.0732  0.0151 -0.0075 r, L ATLAS
 2.50 16000. -5.0  2.0  0.7922 -0.4066  0.3277 -0.1172 r, L ATLAS
 3.00 16000. -5.0  2.0  0.7804 -0.4942  0.4261 -0.1545 r, L ATLAS
 3.50 16000. -5.0  2.0  0.7022 -0.3824  0.3248 -0.1195 r, L ATLAS
 4.00 16000. -5.0  2.0  0.6331 -0.2566  0.2025 -0.0756 r, L ATLAS
 4.50 16000. -5.0  2.0  0.5917 -0.1745  0.1191 -0.0452 r, L ATLAS
 5.00 16000. -5.0  2.0  0.5765 -0.1417  0.0820 -0.0309 r, L ATLAS
 2.50 17000. -5.0  2.0  0.8206 -0.4491  0.3522 -0.1220 r, L ATLAS
